Explosive,C,H,N,O,Al,B,Ba,Ca,Cl,F,P,Pb,Si,Heat of Formation [kcal/mol],Density [g/cc],D (exp) [km/s],N_arb,M_arb,Q_arb,D_KJ
"1,3,5-Triamino-2,4,6-trinitrobenzene",6.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-33.398140000000005,1.8,7.35,0.02907,27.2,1089.154,7.545763987999999
"1,3,5-Trinitrobenzene",6.0,3.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-10.399280000000001,1.71,7.3,0.024648,32.0,1351.177,7.3694841989999995
"2,4,6,2',4',6'-Hexanitrodiphenylamine",12.0,5.0,7.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.882,1.6,7.2,0.024487,32.744,1368.752,7.082862007
"2,4,6-Trinitrocresol",7.0,5.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-60.2888,1.62,6.85,0.02572,29.76,1216.919,6.940380866
"3-Nitro-1,2,4-triazole-5-one",2.0,2.0,4.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-24.086714,1.8,7.89,0.030769,29.5,982.41,7.720667436
ABH,24.0,6.0,14.0,24.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,116.0,1.64,7.2,0.023455,34.732,1460.412,7.270507307000001
AMATEX-20 [21/41/38] [AN/RDX/TNT],3.89,5.2,4.02,5.37,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-18.03,1.66,7.55,0.030889,27.359,1352.226,7.774579661000001
AMATEX-40 [42/20/38] [AN/RDX/TNT],3.26,4.78,3.18,4.74,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-39.47,1.61,7.01,0.031383,27.011,1273.116,7.536167315
AMATOL-60/40 [AN/TNT],2.8,4.4,2.4,4.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-58.44,1.6,5.76,0.0317,26.636,1172.334,7.362669341
AMATOL-80/20 [AN/TNT],1.4,4.2,2.2,3.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-72.92,1.6,5.2,0.036106,25.722,1087.386,7.644199952999999
Ammonium Picrate,6.0,6.0,4.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-92.38594,1.6,7.15,0.028455,28.286,1093.553,6.959135814
AN,0.0,4.0,2.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-87.4,0.7,1.5,0.04375,24.571,940.0,4.974315586
BTF,6.0,0.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,144.4533,1.859,8.485,0.02381,36.0,1692.275,8.365596939
BTF,6.0,0.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,144.0,1.76,8.26,0.02381,36.0,1690.476,8.048342084
Comp A-3,1.87,3.74,2.46,2.46,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.83,1.64,8.47,0.033957,23.882,1386.737,7.863637655
"Comp B, Grade A (pressed)",4.635,5.8,4.709,5.867000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2134,1.72,7.99,0.030459,27.219,1398.089,7.9668369089999995
Comp B-3 (cast),4.579,5.605,4.816,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.8824400000000001,1.62,7.7,0.030402,27.641,1402.597,7.675242946
Comp B-3 60/40 [RDX/TNT],4.6,5.6,4.8,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.82,1.72,7.89,0.030357,27.647,1406.518,7.996664592999999
Comp C-3,1.9,2.83,2.34,2.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-6.45,1.6,7.63,0.031778,26.53,1310.451,7.572290905
Comp C-4,3.86,7.57,5.22,5.32,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.067259,1.59,8.04,0.033771,24.43,1404.994,7.748309548
Comp C-4,1.82,3.54,2.46,2.51,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.33,1.66,8.37,0.033707,24.504,1404.441,7.975887035
Cyanuric Triazide ,3.0,0.0,12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,218.97888999999998,1.02,5.5,0.029412,28.0,1073.426,5.304862775
Cyclotol 75/25,3.983,5.754,5.2620000000000005,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.722534,1.76,8.3,0.031671,27.464,1432.654,8.323596367999999
Cyclotol-50/50 [RDX/TNT],5.0,5.5,4.5,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.15,1.63,7.66,0.02951,27.774,1387.751,7.582411584
Cyclotol-60/40 [RDX/TNT],4.6,5.6,4.8,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.82,1.74,8.09,0.030357,27.647,1406.518,8.060914679
Cyclotol-65/35 [RDX/TNT],4.4,5.65,4.95,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.305,1.72,8.04,0.030782,27.586,1415.933,8.061443988999999
Cyclotol-70/30 [RDX/TNT],4.2,5.7,5.1,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.79,1.73,8.06,0.031208,27.527,1425.369,8.15878556
Cyclotol-75/25 [RDX/TNT],3.983,5.754,5.2620000000000005,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.28,1.62,7.95,0.031671,27.464,1435.151,7.866286422000001
Cyclotol-77/23 [RDX/TNT],3.92,5.77,5.31,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.87,1.74,8.25,0.031806,27.446,1438.62,8.282605546000001
Cyclotol-78/22 [RDX/TNT],3.88,5.78,5.34,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.17,1.76,8.31,0.031892,27.435,1440.529,8.361757563
Cylcotrimethylene Trinitrosamine,3.0,6.0,6.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,68.2472,1.49,7.3,0.034483,23.0,1388.777,7.3640446
DATB,6.0,5.0,5.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-29.171999999999997,1.79,7.52,0.027778,28.444,1151.556,7.5343104620000005
DATB ,6.0,5.0,5.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-23.6,1.8,7.6,0.027778,28.444,1174.486,7.60112506
DATB ,6.0,5.0,5.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-23.6,1.78,7.6,0.027778,28.444,1174.486,7.541954626
DEGN,4.0,8.0,2.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.4,1.38,6.76,0.033163,25.538,1391.837,7.056221005
Diazodinitrophenol,6.0,2.0,4.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,46.39008,1.5,6.6,0.02381,32.4,1391.381,6.699101227000001
Dinitrodimethyloxamide,4.0,6.0,4.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-73.00062,1.48,7.1,0.031553,27.077,1171.842,7.001464167000001
Dinitrophenoxyethylnitrate,8.0,7.0,3.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-70.02116,1.58,6.8,0.026557,28.138,1259.263,6.896523973
Dioxyethylnitramine Dinitrate,4.0,8.0,4.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-65.88344000000001,1.47,7.58,0.033333,27.0,1472.152,7.579352066
DIPAM,12.0,6.0,8.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-20.116629999999997,1.76,7.4,0.02533,31.652,1269.347,7.482903091
Dipentaerythritol Hexanitrate,10.0,16.0,6.0,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-233.7932,1.6,7.4,0.031489,28.485,1422.914,7.832430332
EL-506A,2.41,4.29,1.08,3.27,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-39.89,1.48,7.2,0.032265,24.166,1360.815,7.14362485
EL-506C,8.691,14.186,2.887,10.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-140.991354,1.48,7.0,0.031324,24.056,1338.516,7.001625574
Ethriol Trinitrate,6.0,11.0,3.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-114.7644,1.48,6.44,0.032528,24.914,1366.675,7.235275268
Ethyl Nitrate,2.0,5.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-45.4545,1.1,5.8,0.035714,21.538,1346.654,6.052938975
Ethyl Picrate,8.0,7.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-48.01924,1.55,6.5,0.026265,26.963,1240.392,6.673838045
Ethylenediamine Dinitrate,2.0,10.0,4.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-156.17512,1.53,6.8,0.040323,22.4,966.8,7.353899014
Ethylenedinitramine,2.0,6.0,4.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-24.811529999999998,1.65,7.57,0.036667,24.0,1303.923,8.08990733
EXP D (ammonium picrate),6.0,6.0,4.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-94.0,1.55,6.85,0.028455,28.286,1086.992,6.802029612
EXP D (ammonium picrate),6.0,6.0,4.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-94.0,1.48,6.7,0.028455,28.286,1086.992,6.596727888999999
Hexamethylenetriperoxide Diamine,6.0,12.0,2.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-86.09097,1.57,4.5,0.033654,19.429,1253.409,7.038636678
Hexanitroethane,2.0,0.0,6.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.99633,0.91,4.95,0.03,38.667,1943.321,6.322750753999999
Hexogen,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,16.000084,1.76,8.75,0.033784,27.2,1488.289,8.658075065
HMX,4.0,8.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.0682,1.89,9.11,0.033784,27.2,1477.257,9.08617652
HMX,4.0,8.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.9,1.6,7.91,0.033784,27.2,1476.689,8.094513181
HMX,4.0,8.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.9,1.4,7.3,0.033784,27.2,1476.689,7.411210121
HMX,4.0,8.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.9,1.2,6.58,0.033784,27.2,1476.689,6.72790706
HMX,4.0,8.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.9,1.0,5.8,0.033784,27.2,1476.689,6.044603999
HMX,4.0,8.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.9,0.75,4.88,0.033784,27.2,1476.689,5.190475173
HNAB,12.0,4.0,8.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,67.9,1.6,7.31,0.024336,33.455,1445.796,7.1968058720000005
HNAB II,12.0,4.0,8.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,57.88288000000001,1.77,7.65,0.024336,33.455,1423.635,7.683470836000001
HNB,6.0,0.0,6.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,1.97,9.3,0.025862,38.667,1649.425,9.191625598
HNS,14.0,6.0,6.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.882748999999999,1.7,7.0,0.023333,32.0,1356.184,7.147957118
HNS,14.0,6.0,6.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.7,1.6,6.8,0.023333,32.0,1366.889,6.87197041
Hydrazine Nitrate,0.0,5.0,3.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-59.028569999999995,1.6,8.69,0.044737,23.059,1147.068,8.390953227
LX-01-0,1.286,3.1430000000000002,1.4280000000000002,2.8569999999999998,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-23.19075,1.24,6.84,0.034745,26.145,1519.482,6.942426508
LX-14,4.401,8.441,7.49,7.694,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.3407,1.833,8.837,0.033547,26.514,1422.946,8.721696777
Mannitol Hexanitrate,6.0,8.0,6.0,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-161.52584,1.73,8.26,0.030973,33.143,1609.899,8.777341612999999
MEN-II,1.5430000000000001,3.468,1.794,1.663,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-44.40168,1.02,5.49,0.035213,21.1,712.087,4.88078944
Metadinitrobenzene,6.0,4.0,2.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-6.50547,1.47,6.1,0.02381,27.0,1208.896,6.097855255
Methyl Nitrate,1.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-37.2372,1.217,6.3,0.035714,26.909,1557.958,7.052273382999999
NC (13.35% N),6.0,7.2860000000000005,2.698,10.41,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,207.1375,1.2,7.3,0.029531,30.114,2594.165,7.428333793999999
NG,3.0,5.0,3.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-90.84,1.6,7.7,0.031938,31.724,1582.203,8.321299411
Nitroglycerine,3.0,5.0,3.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-88.61442,1.59,7.6,0.031938,31.724,1592.007,8.298983906
Nitroglycol,2.0,4.0,2.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-58.04136,1.48,7.3,0.032895,30.4,1615.517,7.973669929
Nitroguanidine; Picrite,1.0,4.0,4.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-22.20453,1.71,8.2,0.038462,23.0,898.033,7.653323702000001
Nitroisobutylglycerol Trinitrate,4.0,6.0,4.0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-54.587880000000006,1.68,7.6,0.031469,31.778,1730.112,8.735386512
Nitromethane,1.0,3.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-27.0108,1.138,6.29,0.036885,23.111,1363.757,6.408166641
NM,1.0,3.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-26.962,1.13,6.32,0.036885,23.111,1364.557,6.3822228139999995
NONA,18.0,5.0,9.0,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,27.4,1.7,7.4,0.023228,34.712,1417.953,7.359875691
NQ,1.0,4.0,4.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-23.6307,1.55,7.65,0.038462,23.0,884.32,7.13191832
NQ,1.0,4.0,4.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-23.6,1.78,8.59,0.038462,23.0,884.615,7.839850568999999
NQ,1.0,4.0,4.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-23.6,1.62,7.93,0.038462,23.0,884.615,7.347789941
Octogen,4.0,8.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.9201,1.9,9.1,0.033784,27.2,1476.757,9.11957261
Octol,4.909,7.091,6.485,7.394,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.073668,1.81,8.48,0.03167,27.464,1428.183,8.481418007
Octol-60/40 [HMX/TNT],5.2,6.8,6.0,7.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.74,1.8,8.16,0.030924,27.566,1415.276,8.337202999
Octol-76/23 {76.3/23.7} [HMX/TNT],4.711,7.289,6.815,7.526,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.1,1.81,8.45,0.032158,27.4,1441.755,8.561656851
PBX-9007,3.957,6.459,4.879,4.895,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.309197,1.64,8.09,0.032417,25.082,1392.303,7.785760927
PBX-9011,4.867,8.953,6.897,7.337999999999999,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-11.400345,1.77,8.5,0.033256,25.662,1357.272,8.306025746
PBX-9205,3.8289999999999997,6.585,5.211,5.254,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.182408,1.67,8.17,0.032826,25.495,1406.242,7.984637515
PBX-9501,4.306,8.362,7.621,7.874,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.677664,1.84,8.83,0.03361,26.753,1441.384,8.801349092
Pentolite 50/50,6.164,6.254,3.418,8.508,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-64.23461999999999,1.67,7.47,0.028488,29.565,1398.222,7.707865136000001
Pentolite-50/50 [PETN/TNT],6.0,6.5,3.5,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-72.0,1.71,7.75,0.029006,29.714,1422.099,7.948695481000001
Pentolite-50/50 [PETN/TNT],6.0,6.5,3.5,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-72.0,1.7,7.53,0.029006,29.714,1422.099,7.916634345
Pentolite-50/50 [PETN/TNT],6.0,6.5,3.5,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-72.0,1.68,7.65,0.029006,29.714,1422.099,7.852512073
Pentolite-50/50 [PETN/TNT],6.0,6.5,3.5,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-72.0,1.64,7.53,0.029006,29.714,1422.099,7.724267529
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-128.6934,1.76,8.26,0.031646,30.4,1514.261,8.653230048
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,1.7,8.07,0.031646,30.4,1513.291,8.446599125
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,1.6,7.75,0.031646,30.4,1513.291,8.104525017
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,1.45,7.18,0.031646,30.4,1513.291,7.591413855
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,1.23,6.37,0.031646,30.4,1513.291,6.838850817999999
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,0.99,5.48,0.031646,30.4,1513.291,6.017872959
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,0.88,5.06,0.031646,30.4,1513.291,5.64159144
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,0.48,3.6,0.031646,30.4,1513.291,4.273295009
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,0.3,2.99,0.031646,30.4,1513.291,3.657561615
PETN,5.0,8.0,4.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-129.0,0.25,2.83,0.031646,30.4,1513.291,3.4865245610000004
Picratol-52/48 [EXP D/TNT],6.48,5.52,3.52,6.52,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-56.08,1.63,6.97,0.027018,28.388,1182.742,7.009174286
Picric Acid,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-59.40563,1.7,7.35,0.025109,33.043,1248.01,7.320969089
Picric Acid ,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-51.3,1.76,7.57,0.025109,33.043,1283.406,7.5514756929999995
Picric Acid ,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-51.3,1.71,7.26,0.025109,33.043,1283.406,7.402191654
Picric Acid ,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-51.3,1.6,7.1,0.025109,33.043,1283.406,7.073766769
Polyvinyl Nitrate,2.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-24.52437,1.5,7.0,0.030899,26.909,1490.737,7.412074532999999
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.6586,1.77,8.7,0.033784,27.2,1482.246,8.683470563
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.8,8.75,0.033784,27.2,1482.432,8.786338647000001
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.72,8.46,0.033784,27.2,1482.432,8.512752055
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.66,8.24,0.033784,27.2,1482.432,8.30756211
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.6,8.13,0.033784,27.2,1482.432,8.102372166
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.46,7.6,0.033784,27.2,1482.432,7.6235956289999995
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.4,7.46,0.033784,27.2,1482.432,7.418405684
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.29,7.0,0.033784,27.2,1482.432,7.042224119
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.2,6.77,0.033784,27.2,1482.432,6.734439202999999
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.1,6.18,0.033784,27.2,1482.432,6.3924559620000005
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.0,6.1,0.033784,27.2,1482.432,6.050472721
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,0.95,5.8,0.033784,27.2,1482.432,5.8794811010000005
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,0.7,4.65,0.033784,27.2,1482.432,5.024522998999999
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,0.56,4.05,0.033784,27.2,1482.432,4.545746462
TACOT,12.0,4.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,128.106,1.85,7.25,0.023196,31.111,1354.912,7.504997717
TATB,6.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-36.9226,1.88,7.76,0.02907,27.2,1075.494,7.756208925
TATB,6.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-36.9,1.85,7.66,0.02907,27.2,1075.581,7.668533429
Tetramethylolcyclopentanone Tetranitrate,9.0,12.0,4.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-161.59452,1.55,7.04,0.029948,27.652,1339.077,7.310139878999999
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.6781,1.71,7.85,0.027003,30.452,1420.481,7.714415541
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.73,7.72,0.027003,30.452,1420.453,7.776609245
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.68,7.5,0.027003,30.452,1420.453,7.621029189
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.61,7.58,0.027003,30.452,1420.453,7.403217111
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.36,6.68,0.027003,30.452,1420.453,6.625316832999999
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.2,6.34,0.027003,30.452,1420.453,6.127460655
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-17.7138,1.64,6.93,0.02533,28.522,1283.199,6.963565019
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,1.45,6.5,0.02533,28.522,1295.154,6.42928317
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,1.36,6.2,0.02533,28.522,1295.154,6.16854621
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,1.0,5.0,0.02533,28.522,1295.154,5.125598368
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,0.8,4.34,0.02533,28.522,1295.154,4.546182900000001
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-16.033260000000002,1.6,6.9,0.02533,28.522,1290.602,6.857806077999999
TNTAB,6.0,0.0,12.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,270.0,1.74,8.58,0.026786,33.333,1642.857,8.248530468
Triaminoguanidine Nitrate,1.0,9.0,7.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-11.49648,0.95,5.3,0.043413,20.138,1066.488,5.693802374
Trinitroaniline,6.0,4.0,4.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-20.0728,1.72,7.3,0.026316,30.0,1243.54,7.3685726979999995
Trinitroanisole,7.0,5.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-36.610859999999995,1.57,6.8,0.02572,29.76,1314.359,6.92725804
Trinitrophenoxethyl nitrate,8.0,6.0,4.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-66.31288,1.65,7.6,0.02673,31.059,1371.343,7.460547704
XTX-8004,1.62,3.78,2.16,2.43,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.42,1.55,7.22,0.035088,23.5,1442.517,7.739866051
XTX-8004,1.62,3.78,2.16,2.43,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.42,1.5,7.45,0.035088,23.5,1442.517,7.573003267000001
